"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"ALTO ISD","037901","Spring 2025","3","32","1489","6","19","26","81","17","53","8","25","0","","","","","","","","",""
"ALTO ISD","037901","Spring 2025","5","37","1617","13","35","24","65","16","43","6","16","0","","","","","","","","",""
"ALTO ISD","037901","Spring 2025","8","34","1935","3","9","31","91","25","74","8","24","","","","","","","","","",""
"ALTO ISD","037901","Spring 2024","3","39","1394","16","41","23","59","7","18","1","3","0","","","","","","","","",""
"ALTO ISD","037901","Spring 2024","5","37","1618","7","19","30","81","17","46","3","8","0","","","","","","","","",""
"ALTO ISD","037901","Spring 2024","8","41","1969","3","7","38","93","28","68","17","41","","","","","","","","","",""
"ALTO ISD","037901","Spring 2023","3","41","1427","13","32","28","68","16","39","3","7","0","","","","","","","","",""
"ALTO ISD","037901","Spring 2023","5","38","1641","7","18","31","82","16","42","5","13","0","","","","","","","","",""
"ALTO ISD","037901","Spring 2023","8","42","1919","6","14","36","86","27","64","10","24","","","","","","","","","",""
"ALVARADO ISD","126901","Spring 2025","3","236","1432","72","31","164","69","84","36","33","14","11","1414","4","36","7","64","5","45","1","9"
"ALVARADO ISD","126901","Spring 2025","5","264","1608","86","33","178","67","102","39","47","18","4","","","","","","","","",""
"ALVARADO ISD","126901","Spring 2025","8","284","1877","75","26","209","74","148","52","65","23","","","","","","","","","",""
"ALVARADO ISD","126901","Spring 2024","3","274","1411","111","41","163","59","76","28","23","8","2","","","","","","","","",""
"ALVARADO ISD","126901","Spring 2024","5","254","1584","89","35","165","65","94","37","23","9","8","1428","7","88","1","13","0","0","0","0"
"ALVARADO ISD","126901","Spring 2024","8","267","1873","55","21","212","79","134","50","38","14","","","","","","","","","",""
"ALVARADO ISD","126901","Spring 2023","3","262","1437","79","30","183","70","89","34","34","13","2","","","","","","","","",""
"ALVARADO ISD","126901","Spring 2023","5","266","1616","60","23","206","77","110","41","33","12","3","","","","","","","","",""
"ALVARADO ISD","126901","Spring 2023","8","305","1795","117","38","188","62","81","27","22","7","","","","","","","","","",""
"ALVIN ISD","020901","Spring 2025","3","2099","1490","476","23","1623","77","1094","52","523","25","77","1412","33","43","44","57","26","34","11","14"
"ALVIN ISD","020901","Spring 2025","5","1221","1567","404","33","817","67","323","26","43","4","36","1538","14","39","22","61","6","17","1","3"
"ALVIN ISD","020901","Spring 2025","8","2563","1925","537","21","2026","79","1525","60","801","31","","","","","","","","","",""
"ALVIN ISD","020901","Spring 2024","3","2088","1474","486","23","1602","77","974","47","384","18","69","1387","35","51","34","49","18","26","5","7"
"ALVIN ISD","020901","Spring 2024","5","1312","1582","393","30","919","70","454","35","65","5","11","1588","3","27","8","73","5","45","0","0"
"ALVIN ISD","020901","Spring 2024","8","2571","1906","567","22","2004","78","1381","54","710","28","","","","","","","","","",""
"ALVIN ISD","020901","Spring 2023","3","2055","1480","488","24","1567","76","1020","50","480","23","74","1352","39","53","35","47","7","9","1","1"
"ALVIN ISD","020901","Spring 2023","5","1406","1589","335","24","1071","76","484","34","103","7","14","1550","4","29","10","71","1","7","1","7"
"ALVIN ISD","020901","Spring 2023","8","2458","1926","376","15","2082","85","1466","60","773","31","","","","","","","","","",""
"ALVORD ISD","249901","Spring 2025","3","79","1509","8","10","71","90","51","65","17","22","0","","","","","","","","",""
"ALVORD ISD","249901","Spring 2025","5","54","1710","7","13","47","87","35","65","17","31","0","","","","","","","","",""
"ALVORD ISD","249901","Spring 2025","8","70","1860","15","21","55","79","37","53","6","9","","","","","","","","","",""
"ALVORD ISD","249901","Spring 2024","3","73","1440","18","25","55","75","25","34","6","8","0","","","","","","","","",""
"ALVORD ISD","249901","Spring 2024","5","53","1710","2","4","51","96","36","68","14","26","0","","","","","","","","",""
"ALVORD ISD","249901","Spring 2024","8","50","1847","13","26","37","74","21","42","5","10","","","","","","","","","",""
"ALVORD ISD","249901","Spring 2023","3","51","1474","10","20","41","80","27","53","9","18","0","","","","","","","","",""
"ALVORD ISD","249901","Spring 2023","5","58","1662","6","10","52","90","33","57","14","24","2","","","","","","","","",""
"ALVORD ISD","249901","Spring 2023","8","56","1914","5","9","51","91","39","70","8","14","","","","","","","","","",""
"AMARILLO ISD","188901","Spring 2025","3","2011","1467","542","27","1469","73","908","45","385","19","34","1339","20","59","14","41","6","18","1","3"
"AMARILLO ISD","188901","Spring 2025","5","2117","1653","451","21","1666","79","1073","51","459","22","40","1520","24","60","16","40","8","20","1","3"
"AMARILLO ISD","188901","Spring 2025","8","2095","1886","494","24","1601","76","1157","55","452","22","","","","","","","","","",""
"AMARILLO ISD","188901","Spring 2024","3","2130","1452","607","28","1523","72","859","40","318","15","36","1324","25","69","11","31","4","11","1","3"
"AMARILLO ISD","188901","Spring 2024","5","2120","1652","342","16","1778","84","1138","54","393","19","23","1524","13","57","10","43","3","13","1","4"
"AMARILLO ISD","188901","Spring 2024","8","2115","1880","404","19","1711","81","1123","53","382","18","","","","","","","","","",""
"AMARILLO ISD","188901","Spring 2023","3","2216","1465","555","25","1661","75","1033","47","421","19","22","1384","9","41","13","59","4","18","1","5"
"AMARILLO ISD","188901","Spring 2023","5","2107","1659","259","12","1848","88","1164","55","431","20","11","1560","3","27","8","73","5","45","0","0"
"AMARILLO ISD","188901","Spring 2023","8","2383","1888","385","16","1998","84","1339","56","479","20","","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2025","3","14","1433","5","36","9","64","5","36","2","14","0","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2025","5","20","1685","3","15","17","85","12","60","5","25","0","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2025","8","12","2044","1","8","11","92","9","75","7","58","","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2024","3","14","1429","4","29","10","71","4","29","0","0","0","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2024","5","24","1595","4","17","20","83","10","42","0","0","0","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2024","8","8","1916","0","0","8","100","7","88","2","25","","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2023","3","19","1478","4","21","15","79","11","58","4","21","0","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2023","5","12","1654","2","17","10","83","6","50","4","33","0","","","","","","","","",""
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2023","8","10","1930","1","10","9","90","5","50","2","20","","","","","","","","","",""
"AMHERST ISD","140901","Spring 2025","3","11","1332","8","73","3","27","0","0","0","0","1","","","","","","","","",""
"AMHERST ISD","140901","Spring 2025","5","8","1456","6","75","2","25","0","0","0","0","0","","","","","","","","",""
"AMHERST ISD","140901","Spring 2025","8","9","1695","7","78","2","22","0","0","0","0","","","","","","","","","",""
"AMHERST ISD","140901","Spring 2024","3","8","1358","4","50","4","50","1","13","0","0","0","","","","","","","","",""
"AMHERST ISD","140901","Spring 2024","5","8","1453","7","88","1","13","0","0","0","0","0","","","","","","","","",""
"AMHERST ISD","140901","Spring 2024","8","12","1704","11","92","1","8","0","0","0","0","","","","","","","","","",""
"AMHERST ISD","140901","Spring 2023","3","8","1313","6","75","2","25","0","0","0","0","0","","","","","","","","",""
"AMHERST ISD","140901","Spring 2023","5","12","1507","8","67","4","33","2","17","0","0","0","","","","","","","","",""
"AMHERST ISD","140901","Spring 2023","8","8","1717","4","50","4","50","0","0","0","0","","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2025","3","70","1478","15","21","55","79","34","49","14","20","0","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2025","5","71","1718","9","13","62","87","47","66","24","34","0","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2025","8","42","1981","2","5","40","95","36","86","19","45","","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2024","3","67","1476","9","13","58","87","31","46","8","12","0","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2024","5","66","1652","10","15","56","85","36","55","14","21","0","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2024","8","40","1972","0","0","40","100","35","88","15","38","","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2023","3","49","1501","8","16","41","84","25","51","12","24","0","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2023","5","48","1712","5","10","43","90","28","58","16","33","0","","","","","","","","",""
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2023","8","28","1996","1","4","27","96","22","79","12","43","","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2025","3","116","1414","45","39","71","61","35","30","15","13","2","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2025","5","110","1567","43","39","67","61","34","31","12","11","3","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2025","8","111","1847","38","34","73","66","53","48","19","17","","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2024","3","112","1413","37","33","75","67","34","30","5","4","1","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2024","5","109","1574","39","36","70","64","37","34","13","12","1","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2024","8","104","1838","27","26","77","74","38","37","12","12","","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2023","3","117","1371","54","46","63","54","18","15","3","3","0","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2023","5","110","1626","22","20","88","80","55","50","11","10","0","","","","","","","","",""
"ANAHUAC ISD","036901","Spring 2023","8","125","1868","21","17","104","83","68","54","19","15","","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2025","3","78","1608","4","5","74","95","62","79","37","47","0","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2025","5","82","1647","16","20","66","80","46","56","18","22","0","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2025","8","82","1869","20","24","62","76","38","46","17","21","","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2024","3","76","1504","10","13","66","87","47","62","14","18","0","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2024","5","70","1648","6","9","64","91","41","59","9","13","0","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2024","8","80","1911","15","19","65","81","48","60","27","34","","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2023","3","75","1524","5","7","70","93","53","71","20","27","0","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2023","5","76","1682","5","7","71","93","50","66","19","25","0","","","","","","","","",""
"ANDERSON-SHIRO CISD","093901","Spring 2023","8","63","1943","2","3","61","97","48","76","18","29","","","","","","","","","",""
"ANDREWS ISD","002901","Spring 2025","3","318","1445","95","30","223","70","135","42","46","14","3","","","","","","","","",""
"ANDREWS ISD","002901","Spring 2025","5","280","1613","83","30","197","70","114","41","44","16","9","1458","7","78","2","22","0","0","0","0"
"ANDREWS ISD","002901","Spring 2025","8","303","1920","43","14","260","86","203","67","84","28","","","","","","","","","",""
"ANDREWS ISD","002901","Spring 2024","3","331","1425","96","29","235","71","105","32","20","6","11","1312","8","73","3","27","0","0","0","0"
"ANDREWS ISD","002901","Spring 2024","5","322","1602","96","30","226","70","124","39","34","11","14","1475","9","64","5","36","1","7","0","0"
"ANDREWS ISD","002901","Spring 2024","8","305","1923","29","10","276","90","217","71","74","24","","","","","","","","","",""
"ANDREWS ISD","002901","Spring 2023","3","282","1439","71","25","211","75","112","40","30","11","6","1396","3","50","3","50","2","33","0","0"
"ANDREWS ISD","002901","Spring 2023","5","295","1607","71","24","224","76","125","42","35","12","13","1505","8","62","5","38","1","8","0","0"
"ANDREWS ISD","002901","Spring 2023","8","327","1921","43","13","284","87","211","65","83","25","","","","","","","","","",""
"ANGLETON ISD","020902","Spring 2025","3","467","1493","92","20","375","80","257","55","111","24","12","1458","3","25","9","75","5","42","3","25"
"ANGLETON ISD","020902","Spring 2025","5","531","1665","95","18","436","82","276","52","129","24","7","1511","4","57","3","43","0","0","0","0"
"ANGLETON ISD","020902","Spring 2025","8","360","1800","161","45","199","55","111","31","27","8","","","","","","","","","",""
"ANGLETON ISD","020902","Spring 2024","3","506","1449","154","30","352","70","221","44","60","12","9","1421","3","33","6","67","2","22","1","11"
"ANGLETON ISD","020902","Spring 2024","5","504","1695","63","13","441","88","338","67","138","27","1","","","","","","","","",""
"ANGLETON ISD","020902","Spring 2024","8","407","1824","118","29","289","71","159","39","33","8","","","","","","","","","",""
"ANGLETON ISD","020902","Spring 2023","3","510","1468","109","21","401","79","247","48","98","19","4","","","","","","","","",""
"ANGLETON ISD","020902","Spring 2023","5","501","1692","30","6","471","94","333","66","140","28","0","","","","","","","","",""
"ANGLETON ISD","020902","Spring 2023","8","456","1837","134","29","322","71","176","39","70","15","","","","","","","","","",""
"ANNA ISD","043902","Spring 2025","3","484","1433","178","37","306","63","184","38","71","15","8","1323","7","88","1","13","1","13","0","0"
"ANNA ISD","043902","Spring 2025","5","468","1600","157","34","311","66","167","36","77","16","9","1548","5","56","4","44","1","11","1","11"
"ANNA ISD","043902","Spring 2025","8","372","1765","196","53","176","47","59","16","15","4","","","","","","","","","",""
"ANNA ISD","043902","Spring 2024","3","447","1426","152","34","295","66","150","34","32","7","4","","","","","","","","",""
"ANNA ISD","043902","Spring 2024","5","404","1622","99","25","305","75","187","46","62","15","4","","","","","","","","",""
"ANNA ISD","043902","Spring 2024","8","333","1760","170","51","163","49","45","14","4","1","","","","","","","","","",""
"ANNA ISD","043902","Spring 2023","3","382","1444","105","27","277","73","165","43","52","14","2","","","","","","","","",""
"ANNA ISD","043902","Spring 2023","5","379","1636","77","20","302","80","186","49","61","16","0","","","","","","","","",""
"ANNA ISD","043902","Spring 2023","8","293","1797","97","33","196","67","76","26","9","3","","","","","","","","","",""
"ANSON ISD","127901","Spring 2025","3","60","1370","31","52","29","48","11","18","3","5","0","","","","","","","","",""
"ANSON ISD","127901","Spring 2025","5","40","1590","9","23","31","78","14","35","2","5","0","","","","","","","","",""
